"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"bat1003",-6.086251,-35.184929,"Atlantic Coast restingas",9.79098630683427,0.151,25.6333332061768,111.749183654785,1403,71.2334976196289,17,0.12
"bat1019",-15.00684321,-39.14066915,"Bahia coastal forests",81.62257423282,0.017,23.8583335876465,140.029754638672,1815,10.2755260467529,57,0.86
"bat1020",-15.01621918,-39.13484356,"Bahia coastal forests",83.8980645739337,0.017,23.841667175293,139.7373046875,1813,9.9619779586792,41,0.77
"bat1021",-14.99654532,-39.13655399,"Bahia coastal forests",81.1711652180725,0.017,23.9291667938232,139.177108764648,1810,10.3864736557007,42,0.89
"bat1022",-14.998398,-39.13814807,"Bahia coastal forests",80.9869951995225,0.017,23.9291667938232,139.177108764648,1810,10.3864736557007,42,0.89
"bat1023",-14.99303894,-39.12165142,"Bahia coastal forests",80.2735564249722,0.017,24.0416660308838,139.003494262695,1836,10.1469602584839,24,0.2
"bat1024",-14.99238368,-39.123586,"Bahia coastal forests",80.3061780438995,0.017,24.0416660308838,139.003494262695,1836,10.1469602584839,27,0.51
"bat1025",-14.96949817,-39.09645198,"Bahia coastal forests",69.2064460408463,0.017,24.0583343505859,138.446472167969,1890,10.6476697921753,11,0.39
"bat1026",-14.971078,-39.09930412,"Bahia coastal forests",70.0395015923972,0.017,24.0583343505859,138.446472167969,1890,10.6476697921753,18,0.35
"bat1027",-14.98634266,-39.12724062,"Bahia coastal forests",80.4031543224586,0.017,23.9208335876465,137.897506713867,1832,10.2456617355347,27,0.51
"bat1029",-15.13805267,-39.14126424,"Bahia coastal forests",85.0712995561974,0.017,23.8916664123535,143.476852416992,1763,10.656135559082,51,0.39
"bat1031",-15.14257913,-39.13988103,"Bahia coastal forests",87.0855814386878,0.017,23.8958339691162,142.86767578125,1757,10.3139047622681,51,0.39
"bat1032",-15.1456632,-39.14719301,"Bahia coastal forests",87.3449234400188,0.017,23.9208335876465,142.309814453125,1746,10.5405960083008,56,0.33
"bat1035",-15.13273337,-39.18118194,"Bahia coastal forests",84.0497313087868,0.017,23.6833324432373,144.934677124023,1713,10.6046772003174,71,0.29
"bat1036",-15.13999139,-39.17704218,"Bahia coastal forests",85.9273994678883,0.017,23.7124996185303,144.003219604492,1716,10.3300266265869,71,0.29
"bat1037",-15.13129059,-39.16881234,"Bahia coastal forests",83.3562399474719,0.017,23.75,142.669342041016,1722,10.6579294204712,70,0.3
"bat1038",-15.1494061,-39.15895861,"Bahia coastal forests",89.9346621992998,0.017,23.8041667938232,142.978988647461,1733,10.590576171875,55,0.36
"bat1039",-15.18399197,-39.06727633,"Bahia coastal forests",92.1444451222196,0.017,24.0458335876465,144.873916625977,1819,9.99596309661865,7,0.12
"bat1040",-15.15792777,-39.06400296,"Bahia coastal forests",90.5748456627642,0.017,24.0583324432373,143.080291748047,1827,10.5881767272949,8,0.16
"bat1041",-15.16476232,-39.05716609,"Bahia coastal forests",89.9115536048734,0.017,24.1000003814697,143.336853027344,1826,10.8530645370483,5,0.16
"bat1042",-15.17231778,-39.04151419,"Bahia coastal forests",82.8895871887855,0.017,24.1833324432373,143.832794189453,1816,11.3229503631592,2,0.11
"bat1043",-15.15063401,-39.07498893,"Bahia coastal forests",92.9653004673949,0.017,24.1666660308838,143.89599609375,1819,10.7306938171387,13,0.17
"bat1044",-15.15357229,-39.0713181,"Bahia coastal forests",92.5968629281381,0.017,24.1666660308838,143.89599609375,1819,10.7306938171387,13,0.17
"bat1045",-15.17888157,-39.03492316,"Bahia coastal forests",75.102297019657,0.017,24.283332824707,144.605010986328,1816,11.8106651306152,1,0.02
"bat1047",-15.17302372,-39.06328151,"Bahia coastal forests",92.1141982790518,0.017,24.25,144.379547119141,1819,10.9895696640015,7,0.12
"bat1103",-21.717757,-47.616951,"Alto Parana Atlantic forest",20.0040808276979,0.02,21.6958332061768,229.648513793945,1381,74.0851287841797,609,0.87
"bat1104",-21.729754,-47.591215,"Alto Parana Atlantic forest",19.7517404314092,0.02,21.7749996185303,230.034576416016,1375,74.2123870849609,599,0.66
"bat1105",-21.720625,-47.595892,"Alto Parana Atlantic forest",19.8001492886471,0.019,21.5083332061768,229.711624145508,1391,73.7268600463867,607,0.7
"bat1106",-21.726323,-47.584854,"Alto Parana Atlantic forest",20.8709310665392,0.049,21.7749996185303,230.034576416016,1375,74.2123870849609,599,0.66
"bat1109",-22.406729,-47.521386,"Alto Parana Atlantic forest",28.0396728163903,0.319,20.4500007629395,250.889343261719,1261,73.3361892700195,610,0.04
"bat1113",-19.876469,-43.972326,"Bahia interior forests",3.8929585352972,0.232,21.3666667938232,185.096206665039,1510,87.3181762695312,878,0.17
"bat1114",-19.904935,-44.043184,"Bahia interior forests",7.5363850352596,0.027,21.1833324432373,185.108505249023,1509,87.6944732666016,889,0.12
"bat1115",-22.383828,-43.146806,"Serra do Mar coastal forests",47.4057147207457,0.03,18.7250003814697,226.188781738281,1740,60.4929237365723,916,3.8
"bat1117",-19.893398,-43.916367,"Bahia interior forests",3.02024664258313,0.066,21.2000007629395,186.0107421875,1520,87.3795700073242,842,0.3
"bat1118",-22.328934,-42.48888,"Serra do Mar coastal forests",81.742530636548,0.026,16.6625003814697,242.160034179688,1442,66.0246047973633,1165,2.41
"bat1122",-19.764141,-42.63106,"Bahia interior forests",64.2591171826255,0.378,22.6291656494141,207.19401550293,1224,82.2241592407227,305,0.01
"bat1126",-22.583818,-42.261971,"Serra do Mar coastal forests",23.2216894518252,0.056,22.9458332061768,222.163528442383,1155,53.7074317932129,46,0.13
"bat1127",-22.421653,-42.036271,"Serra do Mar coastal forests",49.7199011085177,0.047,22.7083339691162,220.956939697266,1196,54.3457374572754,142,0.59
"bat1128",-22.73306,-42.570575,"Serra do Mar coastal forests",26.0369931457359,0.047,22.6416664123535,220.47297668457,1132,57.0363807678223,110,0.34
"bat1132",-26.582222,-51.712222,"Araucaria moist forests",1.04733266171744,0,14.8166666030884,316.273284912109,1751,15.2654514312744,1225,0.22
"bat1133",-26.588889,-51.696111,"Araucaria moist forests",1.40495107643661,0.016,14.8791666030884,318.101318359375,1740,15.3627996444702,1218,0.12
"bat1141",-15.391917,-39.566139,"Bahia coastal forests",87.30079071901,0.037,20.3374996185303,151.749267578125,1274,17.6637897491455,167,0.98
"bat1144",-28.48361,-49.25528,"Serra do Mar coastal forests",52.6601974256963,0.101,18.5458335876465,314.125457763672,1459,27.057107925415,324,0.29
"bat1145",-28.48361,-49.25528,"Serra do Mar coastal forests",52.9688603921902,0.118,18.5458335876465,314.125457763672,1459,27.057107925415,324,0.29
"bat1146",-28.48361,-49.25528,"Serra do Mar coastal forests",52.9688603921902,0.118,18.5458335876465,314.125457763672,1459,27.057107925415,324,0.29
"bat1161",-22.358928,-47.478085,"Alto Parana Atlantic forest",18.4741925635427,0.247,20.2374992370605,245.746765136719,1294,73.8036956787109,613,0.09
"bat1193",-23.420009,-46.620013,"Serra do Mar coastal forests",63.9034407939541,0.067,16.4624996185303,237.593276977539,1505,60.1427383422852,924,0.28
"bat1198",-20.8,-42.86,"Bahia interior forests",24.3414535659471,0.155,19.158332824707,238.497497558594,1294,77.1452713012695,702,1.75
"bat1199",-6.8,-35.1,"Pernambuco interior forests",21.0401967887638,0.04,25.3333339691162,112.215965270996,1455,62.3017158508301,59,1.02
"bat1201",-25.06,-51.33,"Araucaria moist forests",82.403198436715,0.1,16.2333335876465,274.734039306641,1647,23.3676052093506,943,1.14
